id	requirement	authority	exact_source	evidence	verdict	remaining_action	scope_and_assumptions
R01	在 clean-room / 官方 OpenFHE 固定基线上实现 t=2	user	TASK.md:5–17	MANIFEST.json；OFFICIAL_SOURCE_RECEIPT.json；四份生产 TU；固定官方引用	conditional	保留固定依赖和供件来源条件；不接入隔离区实现	来源受给定归档及 Git blob 绑定支持，不是全历史供应链审计
R02	不要求 1000 次实验；充分判断实现正确	user	TASK.md:15	当前任务明确的用户原话；context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md:3–8	proven	不新增千次门禁	免除样本数要求不等于允许藏掉已知 FAIL
R03	DCP 商余分解与 RCB 同余正确	paper	references/paper/PAPER-2023-1788.pdf:pp.4–7	project/src/double_ckks.cpp:398–438,1227–1244；固定精确算子测试	conditional	无需新补丁；保留合法基及整数解释条件	模环恒等式与非绕回是不同命题
R04	Tensor2 高高与正交叉项，按定义省略低低项	paper	references/paper/PAPER-2023-1788.pdf:p.7 Def.4.1	project/src/double_ckks.cpp:826–892；project/tests/tensor2_test.cpp	conditional	不按印刷负号或私加低低项修改生产	一般两输入；不是无限精度精确乘积
R05	Relin2 使用 Rel(dH) 再 DCP，加 Rel(L)	paper	references/paper/PAPER-2023-1788.pdf:p.7 Def.4.3	project/src/double_ckks.cpp:1011–1054；coordination/relin2-bound-20260908/ADOPTED_CONTRACT.md:29–65	conditional	使用源码特定 HYBRID 残差；不假设严格线性	诚实 key、两坐标余数、实际数字分解和 carry
R06	RS2 缩减 H 与 dH+L 后重构低项	paper	references/paper/PAPER-2023-1788.pdf:p.8 Def.4.5	project/src/double_ckks.cpp:1137–1188；project/tests/rs2_test.cpp:685–735	conditional	无需修复；保持实际 μ 与 d 区分	直接缩减 L 不是等价替代
R07	Mult2=RS2∘Relin2∘Tensor2；实际尺度除 dμ	paper	references/paper/PAPER-2023-1788.pdf:pp.7–8	project/src/double_ckks.cpp:1213–1225；project/src/repeated_mult2.cpp:257–311	conditional	不依据 Thm4.8 印刷缺 d 改坏尺度	论文显示式歧义已由定义及实际代码解决
R08	终端 RCB 真实合成并保留正确活动模数	paper	references/paper/PAPER-2023-1788.pdf:pp.4–8	project/src/double_ckks.cpp:1227–1283；project/src/high_precision_client_io.cpp:685–756	conditional	无需新运行；保持终端专属绑定	不恢复被消耗塔，不等于 bootstrap
R09	Add 同状态配对的高低分量加法	explicitprojectacceptance	context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md:13–17	project/src/double_ckks.cpp:699–733；project/tests/pair_arithmetic_test.cpp；project/tests/repeated_mult2_semantic_two_square_test.cpp:240–243	conditional	保留相同 family/phase/scale 约束	无限次加法后仍 E80 未作承诺
R10	Sub 同状态配对的高低分量减法	explicitprojectacceptance	context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md:13–17	project/src/double_ckks.cpp:735–768；配对负例	conditional	保留兼容性校验	精确配对操作不使噪声界自动复位
