id	input_path	physical_lines_or_locator	sha256	meaning
S01	coordination/public-s100-encoder-cap-20260909/green-evidence/public_s100_encoding.json	whole; metadata and coefficients	7cac9765f0c5e567840ebc347a59e50d039107c7b6a92c037152b69bd8edd94f	当前公开p及固定执行来源
S02	coordination/public-s100-encoder-cap-20260909/ADOPTED_RESULT.zh-CN.md	1-44	99561db9731f7305301e442b33ecbda252c938cbb26b8677a20d8cd7e63bca44	实际cap采用及其边界
S03	coordination/public-s100-encoder-cap-20260909/CAP_MATH_ADOPTION_REVIEW.md	whole	850940a104daee97c6926af554ff1aa45e8c79b24083219b94be4c1fe2ae5aa8	有理端点及定理接入审核
S04	coordination/public-s100-encoder-cap-20260909/SOURCE_BRIDGE_REVIEW.md	1-57	0be7db6a7f948ccd7bbea3c4e010a79b6f82dd014e2d514b28366a1ac6b8809f	源码桥不是历史数值身份
S05	coordination/public-s100-encoder-cap-20260909/GREEN_INTAKE.json	whole	f818ab96c985df408c9604fe52145e7cfe1177c42681f6edf25f261bead5030d	既有运行验包回执
S06	coordination/initial-lift-nonwrap-20260909/ADOPTED_CONTRACT.md	whole	95a0ced1676453e546b8ece9cf993d7b7280407ffcc22a1030bec6911ee0d121	采用的初始提升/八轮非绕回条件合同
S07	coordination/relin2-bound-20260908/ADOPTED_CONTRACT.md	whole	bf3ffa33ef5e9e93c657a3b8eb89daac08ae7f75b0656d83a0eee3b8cda37801	采用的源码特定Relin2合同
S08	project/tests/paper_full_eight_square_oracle.h	23-47;97-127;181-195;227-336	08d6c4dfe6761b84d893d90c120418a29d8a2b96aa05304e95728d72e4c3e203	精确输入、范数、scale及稀疏解密锚点
S09	project/src/double_ckks.cpp	398-438;826-1282	c530b53d600aeb0c295477aebb84bddff2c25b4a139004cdc888edd5dba425eb	DCP、Tensor2、Relin2、RS2、RCB核心调用链
S10	project/src/repeated_mult2.cpp	111-226;257-311;351-378;443-571	6781d01ff9b4012e7c6d14d16f482def0821c54f4e81e2de80bd8db9d1aea41b	固定profile、family和精确尺度
S11	project/src/high_precision_client_io.cpp	334-497;598-636;685-779	85b2b03954262344544dca96f84f8aa06044fb0fc74ff13f1a2317b67d666ac6	实际编码、读出和薄检查入口
S12	official/src/pke/lib/keyswitch/keyswitch-hybrid.cpp	46-131;308-437	872d5e594ac2343f9d055a4e628871987113f67f2142d3a664b2015f17e1d345	HYBRID keygen、digit与两坐标ModDown调用
S13	official/src/core/include/lattice/hal/default/dcrtpoly-impl.h	693-712;888-934;966-1014	31a9cab8e31d5ad46921ec422ec3b4cfa1b013a5d64da1cae9e53cafe884ec41	实际缩塔/升降基算术
S14	official/src/pke/lib/scheme/ckksrns/ckksrns-leveledshe.cpp	172-190	68fd392d9aaabe27e7ebf1e1cf354dd4c856da7bfac2d98afd5b6d796214f282	真实rescale循环
S15	context/current/coordination/fs-endpoint-live-run-01/LINUX_AUDIT.json	status;maxima[id=E8]	e34ae55fd7798e89e0ca051b69c3079b3f6a0acd959e351adc60e47d7e5bdb40	原Linux保留有理端点和同分量三元组；非完整raw replay
S16	context/current/coordination/fs-endpoint-live-run-01/WINDOWS_AUDIT.json	status;maxima[id=E8]	1368ff96b11f9b3b5e9a36082a96c1d613a5f68fd5ab38b5e4ee8daf28a9ffa3	原Windows保留有理端点和同分量三元组；非完整raw replay
S17	project/tests/s100_fresh_error_diagnostic_test.cpp	564-698	d506a692ccc74d229119d9eabcd57d55068938d4a9caccd3a82f08c96ede48eb	全槽fresh拆分已存在；687-691仍保留舍入前提
S18	context/coordination/s100-fresh-error-repair-01/GREEN2_RESULT.md	whole	c69678643f2644ab5d20a236ec3255c3d261d148510f27db7b2b77179b3c471a	独立fresh运行，非原历史链样本
S19	references/paper/PAPER-2023-1788.pdf	PDF physical pages 4,7,8,13	61d9b948b17b6a624d3bf3372462555288308011226d2893e9e6bc3d6d197eac	原页定义、算法、符号与Table3
S20	docs/parameter-atlas/reference/OPENFHE_CKKS_PARAMETER_ATLAS.zh-CN.md	1-465 (relevant passages); source index	3d063866a423d3526b38669c0c8d46314624c821855ec1b0d3467b1c5aa085f8	参数/随机性/metric及第三方工程边界
S21	context/coordination/precision116-eight-square-return-01/ACCEPTANCE.md	whole	823e0994d406bbab8be803d477d5387abcd9cb468f9a940b3652e13b6a764b49	S116改参两平台通过
S22	context/coordination/s100-annulus125-20260908/RESULT.zh-CN.md	whole	871727b3c6b3de5017e29ea5df736ccd1b700996464fbd963ce4e7004f3d2c80	annulus改输入Linux一次通过
S23	context/current/coordination/s100-fresh-error-repair-01/FRESH_IDEAL_PROPAGATION.md	whole	c5594874b83ff055e15c2a6a98864ec613f0bad83b4a75ff368130aa7c72d1f0	既有A+B理想传播，不重做
S24	coordination/build-provenance-20260908/ASSESSMENT.zh-CN.md	1-44	7ccd5a896ef334e5c8de7329a65b81d7f8ad49565e0bfd6f50120d774fce2b7f	四个历史依赖构建OpenMP确认与cache限制
S25	project/tests/paper_endpoint_transform.cpp	77-145;160-209;229-287;331-399	f0a2fd4ffd6d877684a39e753b2419ac23c59a5e59fd9af982c69f27dc081dea	独立512/768观察器，条件数值模型
S26	project/tests/repeated_mult2_semantic_two_square_test.cpp	155-256	b3eb681401bade58cb1a81091c33c4307a4595e226531d5a79580f9a5a7d86a3	同源family、receipt及已写负控
S27	project/tests/paper_full_eight_square_contract_test.cpp	448-493	d3a852d1c2a2ef7db38b2303f52afffd0527ff886ed4655efbbb3ad5c0f4bd90	当前observer负控接线
S28	project/tests/paper_endpoint_transform_negative_contract.h	1-101	038b48cca0f59e912f669b909dede52eacd01b95da5ca2235a21f863179fa2fa	旧未接线注释与具体负控列表
S29	project/.github/workflows/public-s100-encoder-cap.yml	1-70;317-380	1f2c16761cb458229c64739ddd7e94f3c0099f766b81e53d9cfa2ed74e916f74	原cap单次作业门禁，不能复用重跑
S30	project/CMakeLists.txt	1-120;264-365	80ab789552d829e6e6e2f3e2c69b3b673fd588d4c72e863c504bf7d1147a6ade	固定依赖版本/opt-in注册边界
S31	official/src/pke/lib/schemerns/rns-pke.cpp	38-226	e1103468a406d16202fc66d918b28fdf93d436aeadb86efda4a01032fac3bf19	公钥/私钥加密重载与fresh相位来源
S32	official/src/pke/lib/scheme/ckksrns/ckksrns-pke.cpp	40-98	42b1168b6fbf19b0e6b0bdc743378f4165190a4c03fa3906d566eaa8665ad9cf	Poly解密路径，不调用普通double解码
S33	official/src/pke/lib/schemebase/base-leveledshe.cpp	310-340	a15b0d8dec4bd27d4d2cb86f1d659bf58e97ba913b935af3d8db65285fa6b9f9	Relinearize实际KeySwitchCore调用
S34	official/src/pke/lib/schemerns/rns-leveledshe.cpp	182-205;479-485	26e2e0dcd990381fd825cd5e288b5c13488aa343609afa7fd414bfe4e2649155	FIXEDMANUAL乘前仅调层
