path	sha256	total_lines	requested_windows	coverage_kind	limitation
CHECK_AND_HANDOFF.zh-CN.md	7b133395656738328db2307113ee36bf853655c99c495498bb55f02e99a1e68b	102	1-102;1-102	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
REPRODUCE.zh-CN.md	29ace07a0c0bb13d820f73025b783cac645d4cddca8c6410defde3b5bb12a090	69	1-69;1-69	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
REQUIREMENTS_PREFLIGHT.md	2152947f3b630079ab902bbc17c742c357c9edebc24ace1d2897d26ae45cb198	105	1-105;1-51;52-105	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
TASK.md	5a110bc2fc4aa396db80afed49678190927be3261630d2b68a6c27c9534cbda7	70	1-70;53-70;1-70	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
context/current/coordination/CORRECTNESS_ACCEPTANCE_SCOPE_20260905.md	7c252d3d8693ce98fa4af5f1fe11a00dc9952663262c3e43906710ab2ba273cd	35	1-35;1-35	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
context/current/coordination/fs-endpoint-live-run-01/LINUX_AUDIT.json	e34ae55fd7798e89e0ca051b69c3079b3f6a0acd959e351adc60e47d7e5bdb40	172	1-172	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
context/current/coordination/fs-endpoint-live-run-01/WINDOWS_AUDIT.json	1368ff96b11f9b3b5e9a36082a96c1d613a5f68fd5ab38b5e4ee8daf28a9ffa3	170	1-170	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
context/current/coordination/parameter-atlas-20260908/ROOT_PAPER_CROSSCHECK.md	53a5b6919afa648774d808f33438d385375062df21896a958106d8681a89d8ee	64	1-64	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
context/current/coordination/s100-fresh-error-repair-01/FRESH_IDEAL_PROPAGATION.md	c5594874b83ff055e15c2a6a98864ec613f0bad83b4a75ff368130aa7c72d1f0	104	1-104	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
context/current/coordination/s100-fresh-error-repair-01/PAPER_EXPERIMENT_PROVENANCE.md	7b47bd0cf1c7dc91f68cce4d86c3ce079ee2b6bffadbd21f571c2811b78daf0f	66	1-66	logged_text_read_requests	Request windows; tool output may truncate. Not a claim of formal verification of every requested line.
